   7.0000000e+00   2.6000000e+01   6.0000000e+00   6.0000000e+01   7.8500000e+01
   1.0000000e+00   2.9000000e+01   1.5000000e+01   5.2000000e+01   7.4300000e+01
   1.1000000e+01   5.6000000e+01   8.0000000e+00   2.0000000e+01   1.0430000e+02
   1.1000000e+01   3.1000000e+01   8.0000000e+00   4.7000000e+01   8.7600000e+01
   7.0000000e+00   5.2000000e+01   6.0000000e+00   3.3000000e+01   9.5900000e+01
   1.1000000e+01   5.5000000e+01   9.0000000e+00   2.2000000e+01   1.0920000e+02
   3.0000000e+00   7.1000000e+01   1.7000000e+01   6.0000000e+00   1.0270000e+02
   1.0000000e+00   3.1000000e+01   2.2000000e+01   4.4000000e+01   7.2500000e+01
   2.0000000e+00   5.4000000e+01   1.8000000e+01   2.2000000e+01   9.3100000e+01
   2.1000000e+01   4.7000000e+01   4.0000000e+00   2.6000000e+01   1.1590000e+02
   1.0000000e+00   4.0000000e+01   2.3000000e+01   3.4000000e+01   8.3800000e+01
   1.1000000e+01   6.6000000e+01   9.0000000e+00   1.2000000e+01   1.1330000e+02
   1.0000000e+01   6.8000000e+01   8.0000000e+00   1.2000000e+01   1.0940000e+02
